(0, 0.0196078, 0.0196078, 0)  Snow
(0.027451, 0.027451, 0, 0)  GhostWhite
(0, 0, 0, 0.0392157)  WhiteSmoke
(0, 0, 0, 0.137255)  Gainsboro
(0, 0.0196078, 0.0588235, 0)  FloralWhite
(0, 0.0316206, 0.0909091, 0.00784314)  OldLace
(0, 0.04, 0.08, 0.0196078)  Linen
(0, 0.06, 0.14, 0.0196078)  AntiqueWhite
(0, 0.0627451, 0.164706, 0)  PapayaWhip
(0, 0.0784314, 0.196078, 0)  BlanchedAlmond
(0, 0.105882, 0.231373, 0)  Bisque
(0, 0.145098, 0.27451, 0)  PeachPuff
(0, 0.129412, 0.321569, 0)  NavajoWhite
(0, 0.105882, 0.290196, 0)  Moccasin
(0, 0.027451, 0.137255, 0)  Cornsilk
(0, 0, 0.0588235, 0)  Ivory
(0, 0.0196078, 0.196078, 0)  LemonChiffon
(0, 0.0392157, 0.0666667, 0)  Seashell
(0.0588235, 0, 0.0588235, 0)  Honeydew
(0.0392157, 0, 0.0196078, 0)  MintCream
(0.0588235, 0, 0, 0)  Azure
(0.0588235, 0.027451, 0, 0)  AliceBlue
(0.08, 0.08, 0, 0.0196078)  lavender
(0, 0.0588235, 0.0392157, 0)  LavenderBlush
(0, 0.105882, 0.117647, 0)  MistyRose
(0, 0, 0, 0)  White
(-nan(ind), -nan(ind), -nan(ind), 1)  Black
(0.405063, 0, 0, 0.690196)  DarkSlateGray
(0, 0, 0, 0.588235)  DimGrey
(0.222222, 0.111111, 0, 0.435294)  SlateGrey
(0.222222, 0.111111, 0, 0.4)  LightSlateGray
(0, 0, 0, 0.254902)  Grey
(0, 0, 0, 0.172549)  LightGray
(0.776786, 0.776786, 0, 0.560784)  MidnightBlue
(1, 1, 0, 0.498039)  NavyBlue
(0.578059, 0.371308, 0, 0.0705882)  CornflowerBlue
(0.482014, 0.561151, 0, 0.454902)  DarkSlateBlue
(0.482927, 0.560976, 0, 0.196078)  SlateBlue
(0.483193, 0.563025, 0, 0.0666667)  MediumSlateBlue
(0.482353, 0.560784, 0, 0)  LightSlateBlue
